,,PROGRAMACIÓN ACADÉMICA,,,,,
,,,PRIMAVERA 2020,,,,SECRETARÍA ACADÉMICA
,ING. EN CS. DE LA COMPUTACIÓN-CUATRIMESTRAL,,,,,,
,,,,Di,,,
Materia,Clave,Secc,NRC,,Hora,Salon,Profesor
,,,,as,,,
Lengua Extranjera III,FGUM 006,101,20021,AJ,0900-1059,1EMA5/206,OLAVIDE - CASTILLO LUCIA EMILIA
Lengua Extranjera IV,FGUM 007,101,20022,A,0700-0859,1CCO4/308,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera IV,FGUM 007,101,20022,J,0700-0859,1CCO4/301,CHAVEZ - HEREDIA CLAUDIA
Administracion de Redes,ICCM 258,OO1,29056,A,1300-1459,1CCO3/208,ZENTENO - VAZQUEZ ANA CLAUDIA
Administracion de Redes,ICCM 258,OO1,29056,J,1300-1459,1CCO3/301,ZENTENO - VAZQUEZ ANA CLAUDIA
Administracion de Redes,ICCM 258,OO1,29056,L,1400-1459,1CCO3/208,ZENTENO - VAZQUEZ ANA CLAUDIA
Diseno Digital,ICCM 252,OO1,29059,L,1300-1359,1CCO3/208,HERNANDEZ - AMECA JOSE LUIS
Diseno Digital,ICCM 252,OO1,29059,M,1300-1459,1CCO3/208,HERNANDEZ - AMECA JOSE LUIS
Diseno Digital,ICCM 252,OO1,29059,V,1300-1459,1CCO3/208,HERNANDEZ - AMECA JOSE LUIS
Metodos Numericos,ICCM 250,OO1,29062,L,0700-0759,1CCO5/201,BERMUDEZ - JUAREZ MARIA
Metodos Numericos,ICCM 250,OO1,29062,MV,0700-0859,1CCO5/201,BERMUDEZ - JUAREZ MARIA
Analisis y Diseno de Algoritm,IDCO 202,OO1,29066,AJ,0700-0859,1CCO4/403,RIVERA - MARTINEZ MARCELA
Analisis y Diseno de Algoritm,IDCO 202,OO1,29066,L,0800-0859,1CCO4/403,RIVERA - MARTINEZ MARCELA
Analisis y Diseno de Algoritm,IDCO 202,OO2,29070,AJ,1500-1659,1CCO3/208,AYAQUICA - MARTINEZ IRENE OLAYA
Analisis y Diseno de Algoritm,IDCO 202,OO2,29070,L,1600-1659,1CCO3/208,AYAQUICA - MARTINEZ IRENE OLAYA
Programacion Distribuida,CCOM 255,OO1,29074,L,0700-0759,1CCO4/404,SANCHEZ - GALVEZ MARIA LUZ
Programacion Distribuida,CCOM 255,OO1,29074,M,0700-0859,1CCO4/404,SANCHEZ - GALVEZ MARIA LUZ
